datetime,conditions,description,icon
01/03/2020,Clear,Clear conditions throughout the day.,clear-day
02/03/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
03/03/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
04/03/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain
05/03/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
06/03/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
07/03/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
08/03/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
09/03/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
10/03/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
11/03/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
12/03/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain
13/03/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain
14/03/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
15/03/2020,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
16/03/2020,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day
17/03/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain
18/03/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
19/03/2020,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain
20/03/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
21/03/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
22/03/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
23/03/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow
24/03/2020,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day
25/03/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain
26/03/2020,Clear,Clear conditions throughout the day.,clear-day
27/03/2020,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day
28/03/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain
29/03/2020,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain
30/03/2020,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain
31/03/2020,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain
